date,listeners,streams,followers
2024-09-02,18,39,730
2024-09-03,21,52,731
2024-09-04,11,14,731
2024-09-05,15,33,732
2024-09-06,21,51,732
2024-09-07,16,33,732
2024-09-08,10,38,732
2024-09-09,15,27,733
2024-09-10,15,25,733
2024-09-11,16,26,733
2024-09-12,15,27,733
2024-09-13,15,17,733
2024-09-14,10,21,733
2024-09-15,12,26,734
2024-09-16,13,27,734
2024-09-17,9,23,734
2024-09-18,13,30,734
2024-09-19,12,18,734
2024-09-20,15,44,734
2024-09-21,9,16,734
2024-09-22,6,13,734
2024-09-23,21,47,734
2024-09-24,10,87,734
2024-09-25,14,28,734
2024-09-26,10,21,734
2024-09-27,12,45,734
2024-09-28,14,25,734
2024-09-29,9,14,734
2024-09-30,16,50,736
2024-10-01,17,26,736
2024-10-02,14,39,736
2024-10-03,17,34,737
2024-10-04,13,27,737
2024-10-05,19,36,738
2024-10-06,14,22,738
2024-10-07,13,17,738
2024-10-08,14,16,738
2024-10-09,12,19,738
2024-10-10,12,15,739
2024-10-11,16,44,739
2024-10-12,14,15,739
2024-10-13,14,42,737
2024-10-14,18,53,737
2024-10-15,13,23,739
2024-10-16,13,28,739
2024-10-17,20,32,738
2024-10-18,17,62,738
2024-10-19,17,20,738
2024-10-20,12,25,738
2024-10-21,13,21,738
2024-10-22,7,19,738
2024-10-23,14,27,738
2024-10-24,8,18,738
2024-10-25,10,14,738
2024-10-26,9,9,739
2024-10-27,15,20,739
2024-10-28,17,36,739
2024-10-29,15,30,739
2024-10-30,14,31,739
2024-10-31,10,12,739
2024-11-01,11,14,739
2024-11-02,11,13,740
2024-11-03,13,18,740
2024-11-04,8,11,741
2024-11-05,14,23,741
2024-11-06,10,23,741
2024-11-07,8,12,741
2024-11-08,13,36,741
2024-11-09,10,22,741
2024-11-10,7,8,743
2024-11-11,14,24,743
2024-11-12,12,28,744
2024-11-13,10,19,744
2024-11-14,11,15,744
2024-11-15,14,48,746
2024-11-16,10,29,746
2024-11-17,11,27,746
2024-11-18,16,31,746
2024-11-19,17,36,746
2024-11-20,10,14,747
2024-11-21,17,54,747
2024-11-22,13,22,747
2024-11-23,16,25,747
2024-11-24,19,28,747
2024-11-25,10,23,747
2024-11-26,13,19,747
2024-11-27,15,29,748
2024-11-28,12,19,748
2024-11-29,10,100,748
2024-11-30,15,19,748
2024-12-01,9,12,748
2024-12-02,15,21,748
2024-12-03,15,35,749
2024-12-04,17,32,749
2024-12-05,16,25,749
2024-12-06,15,37,749
2024-12-07,17,44,749
2024-12-08,12,20,750
2024-12-09,14,25,750
2024-12-10,16,21,750
2024-12-11,16,21,750
2024-12-12,15,20,750
2024-12-13,11,16,750
2024-12-14,15,26,749
2024-12-15,15,30,749
2024-12-16,8,26,749
2024-12-17,14,21,744
2024-12-18,12,16,744
2024-12-19,20,39,745
2024-12-20,14,23,745
2024-12-21,10,19,745
2024-12-22,7,11,745
2024-12-23,12,77,745
2024-12-24,16,34,745
2024-12-25,12,30,746
2024-12-26,17,22,746
2024-12-27,15,16,746
2024-12-28,15,49,753
2024-12-29,18,26,753
2024-12-30,13,20,753
2024-12-31,14,15,753
2025-01-01,12,27,753
2025-01-02,16,21,754
2025-01-03,13,20,754
2025-01-04,4,8,754
2025-01-05,10,33,754
2025-01-06,12,15,754
2025-01-07,11,13,755
2025-01-08,14,24,755
2025-01-09,12,19,755
2025-01-10,13,36,755
2025-01-11,17,37,755
2025-01-12,17,38,755
2025-01-13,14,18,755
2025-01-14,17,36,756
2025-01-15,15,57,756
2025-01-16,19,61,757
2025-01-17,16,31,757
2025-01-18,19,38,757
2025-01-19,15,24,757
2025-01-20,21,31,757
2025-01-21,21,50,757
2025-01-22,17,40,757
2025-01-23,8,11,757
2025-01-24,17,27,757
2025-01-25,14,26,757
2025-01-26,12,24,757
2025-01-27,16,46,757
2025-01-28,13,26,757
2025-01-29,13,22,757
2025-01-30,19,34,758
2025-01-31,18,26,759
2025-02-01,16,54,761
2025-02-02,11,22,761
2025-02-03,11,23,760
2025-02-04,19,38,760
2025-02-05,11,31,760
2025-02-06,19,37,760
2025-02-07,16,37,761
2025-02-08,12,20,761
2025-02-09,17,30,761
2025-02-10,12,24,761
2025-02-11,12,15,762
2025-02-12,9,19,762
2025-02-13,13,18,762
2025-02-14,16,35,762
2025-02-15,14,26,762
2025-02-16,11,26,762
2025-02-17,12,30,763
2025-02-18,18,36,764
2025-02-19,16,37,764
2025-02-20,19,51,764
2025-02-21,15,34,764
2025-02-22,14,22,764
2025-02-23,12,21,767
2025-02-24,16,38,767
2025-02-25,22,36,767
2025-02-26,20,42,768
2025-02-27,20,73,768
2025-02-28,19,26,768
2025-03-01,17,19,769
2025-03-02,14,22,769
2025-03-03,17,32,769
2025-03-04,15,29,769
2025-03-05,13,23,769
2025-03-06,19,34,769
2025-03-07,18,40,770
2025-03-08,20,33,770
2025-03-09,15,26,771
2025-03-10,10,17,771
2025-03-11,19,46,771
2025-03-12,13,27,771
2025-03-13,16,37,771
2025-03-14,15,43,771
2025-03-15,13,28,770
2025-03-16,9,38,770
2025-03-17,22,40,770
2025-03-18,15,30,770
2025-03-19,11,23,770
2025-03-20,18,54,770
2025-03-21,18,50,770
2025-03-22,20,51,772
2025-03-23,20,59,773
2025-03-24,17,54,773
2025-03-25,20,47,773
2025-03-26,13,35,773
2025-03-27,16,32,774
2025-03-28,24,99,775
2025-03-29,21,33,775
2025-03-30,14,46,775
2025-03-31,14,50,776
2025-04-01,18,56,776
2025-04-02,17,33,776
2025-04-03,22,39,776
2025-04-04,25,74,777
2025-04-05,23,64,779
2025-04-06,14,22,779
2025-04-07,21,39,779
2025-04-08,14,29,779
2025-04-09,23,43,779
2025-04-10,15,29,779
2025-04-11,15,26,780
2025-04-12,23,49,781
2025-04-13,19,56,781
2025-04-14,21,67,781
2025-04-15,14,17,781
2025-04-16,14,30,781
2025-04-17,17,24,781
2025-04-18,27,54,782
2025-04-19,19,36,782
2025-04-20,16,18,782
2025-04-21,19,26,783
2025-04-22,14,16,784
2025-04-23,20,30,785
2025-04-24,14,24,785
2025-04-25,22,30,786
2025-04-26,20,27,787
2025-04-27,17,20,790
2025-04-28,25,44,792
2025-04-29,19,41,792
2025-04-30,18,38,793
2025-05-01,22,57,794
2025-05-02,21,41,794
2025-05-03,17,38,794
2025-05-04,21,48,797
2025-05-05,16,29,798
2025-05-06,22,31,797
2025-05-07,159,542,805
2025-05-08,204,489,811
2025-05-09,112,266,814
2025-05-10,136,273,815
2025-05-11,112,201,816
2025-05-12,337,437,817
2025-05-13,322,462,818
2025-05-14,240,302,820
2025-05-15,357,490,820
2025-05-16,161,236,822
2025-05-17,93,127,824
2025-05-18,96,190,827
2025-05-19,123,168,827
2025-05-20,105,143,827
2025-05-21,79,114,827
2025-05-22,119,195,827
2025-05-23,133,194,827
2025-05-24,72,123,826
2025-05-25,130,155,827
2025-05-26,134,166,827
2025-05-27,76,143,827
2025-05-28,69,131,827
2025-05-29,62,89,827
2025-05-30,57,80,827
2025-05-31,47,54,827
2025-06-01,40,73,827
2025-06-02,45,74,827
2025-06-03,63,120,828
2025-06-04,43,68,828
2025-06-05,45,77,828
2025-06-06,48,86,828
2025-06-07,34,45,828
2025-06-08,33,41,828
2025-06-09,32,45,828
2025-06-10,39,56,828
2025-06-11,62,84,828
2025-06-12,39,107,828
2025-06-13,33,56,828
2025-06-14,24,39,828
2025-06-15,21,32,828
2025-06-16,31,48,828
2025-06-17,49,88,830
2025-06-18,53,82,829
2025-06-19,37,89,829
2025-06-20,32,72,830
2025-06-21,36,50,831
2025-06-22,29,56,831
2025-06-23,46,72,832
2025-06-24,34,70,834
2025-06-25,30,54,835
2025-06-26,29,43,835
2025-06-27,29,42,836
2025-06-28,21,47,836
2025-06-29,24,48,836
2025-06-30,34,47,836
2025-07-01,34,77,836
2025-07-02,44,83,836
2025-07-03,46,75,836
2025-07-04,29,72,836
2025-07-05,25,62,836
2025-07-06,20,35,836
2025-07-07,28,55,836
2025-07-08,28,60,837
2025-07-09,28,45,837
2025-07-10,34,75,837
2025-07-11,22,44,837
2025-07-12,17,42,844
2025-07-13,27,54,846
2025-07-14,38,71,847
2025-07-15,26,53,847
2025-07-16,37,65,847
2025-07-17,44,73,847
2025-07-18,35,52,847
2025-07-19,32,54,847
2025-07-20,22,48,847
2025-07-21,31,54,847
2025-07-22,25,39,847
2025-07-23,33,63,847
2025-07-24,19,67,847
2025-07-25,19,30,847
2025-07-26,21,30,847
2025-07-27,28,29,847
2025-07-28,18,26,847
2025-07-29,30,65,847
2025-07-30,27,66,847
2025-07-31,23,32,848
2025-08-01,31,46,848
2025-08-02,28,43,851
2025-08-03,18,35,852
2025-08-04,25,34,853
2025-08-05,36,47,853
2025-08-06,44,67,853
2025-08-07,21,43,854
2025-08-08,28,70,855
2025-08-09,16,24,855
2025-08-10,16,32,855
2025-08-11,36,91,855
2025-08-12,49,65,855
2025-08-13,45,59,856
2025-08-14,31,41,856
2025-08-15,28,52,856
2025-08-16,25,37,856
2025-08-17,333,338,893
2025-08-18,503,516,932
2025-08-19,52,69,932
2025-08-20,55,88,932
2025-08-21,27,49,932
2025-08-22,20,31,933
2025-08-23,14,39,934
2025-08-24,20,25,934
2025-08-25,25,101,934
2025-08-26,29,45,936
2025-08-27,37,53,938
2025-08-28,28,78,939
2025-08-29,26,53,939
2025-08-30,21,32,939
2025-08-31,20,27,939
2025-09-01,25,34,933
2025-09-02,32,56,933
2025-09-03,20,28,932
2025-09-04,23,33,930
2025-09-05,25,68,929
2025-09-06,24,35,929
2025-09-07,18,27,929
2025-09-08,28,81,929
2025-09-09,33,71,929
2025-09-10,20,45,929
2025-09-11,28,86,930
2025-09-12,27,59,932
2025-09-13,26,51,933
2025-09-14,26,54,933
2025-09-15,29,36,933
2025-09-16,28,37,933
2025-09-17,19,24,933
2025-09-18,24,49,933
2025-09-19,23,44,933
2025-09-20,21,36,867
2025-09-21,27,65,867
2025-09-22,21,31,867
2025-09-23,19,59,867
2025-09-24,18,25,867
2025-09-25,19,30,866
2025-09-26,19,23,866
2025-09-27,17,34,865
2025-09-28,20,44,866
2025-09-29,25,39,866
2025-09-30,77,406,868
2025-10-01,79,474,869
2025-10-02,73,337,869
2025-10-03,63,240,870
2025-10-04,35,329,871
2025-10-05,35,101,872
2025-10-06,45,163,873
2025-10-07,54,127,873
2025-10-08,61,98,875
2025-10-09,53,149,876
2025-10-10,64,413,876
2025-10-11,43,137,876
2025-10-12,27,115,877
2025-10-13,29,57,876
2025-10-14,29,100,875
2025-10-15,35,92,875
2025-10-16,41,106,875
2025-10-17,33,72,875
2025-10-18,27,111,882
2025-10-19,17,32,886
2025-10-20,33,65,886
2025-10-21,32,44,886
2025-10-22,34,67,886
2025-10-23,22,255,886
2025-10-24,33,57,886
2025-10-25,31,42,886
2025-10-26,22,52,887
2025-10-27,17,43,888
2025-10-28,24,52,889
2025-10-29,26,34,889
2025-10-30,29,40,889
2025-10-31,36,107,888
2025-11-01,32,53,890
2025-11-02,28,76,891
2025-11-03,31,104,891
2025-11-04,36,159,891
2025-11-05,41,120,890
2025-11-06,53,274,890
2025-11-07,51,96,891
2025-11-08,38,60,893
2025-11-09,61,111,892
2025-11-10,87,118,895
2025-11-11,316,342,894
2025-11-12,523,549,894
2025-11-13,486,527,896
2025-11-14,605,657,899
2025-11-15,412,481,900
2025-11-16,307,354,900
2025-11-17,390,430,900
2025-11-18,420,477,900
2025-11-19,422,482,903
2025-11-20,413,442,904
2025-11-21,441,489,905
2025-11-22,401,441,905
2025-11-23,334,367,905
2025-11-24,388,407,906
2025-11-25,452,487,906
2025-11-26,409,449,906
2025-11-27,385,420,907
2025-11-28,384,418,908
2025-11-29,365,408,908
2025-11-30,284,305,908
2025-12-01,417,458,908
2025-12-02,264,310,907
2025-12-03,41,61,907
2025-12-04,39,49,908
2025-12-05,49,88,909
2025-12-06,44,74,910
2025-12-07,41,64,911
2025-12-08,48,72,913
2025-12-09,40,54,913
2025-12-10,48,108,913
2025-12-11,43,60,913
2025-12-12,39,63,913
2025-12-13,40,53,913
2025-12-14,37,48,913
2025-12-15,33,78,913
2025-12-16,41,62,913
2025-12-17,33,47,913
2025-12-18,42,63,913
2025-12-19,28,44,913
2025-12-20,31,39,913
2025-12-21,24,42,913
2025-12-22,38,53,913
2025-12-23,56,64,913
2025-12-24,22,24,913
2025-12-25,24,36,913
2025-12-26,25,38,912
2025-12-27,24,31,912
2025-12-28,22,34,913
2025-12-29,32,41,913
2025-12-30,41,55,913
2025-12-31,29,34,913
